iter	Logloss
0	0.6929018079
1	0.6926721687
2	0.692460703
3	0.6923718929
4	0.692126628
5	0.6919141481
6	0.6917116984
7	0.6915214628
8	0.691367568
9	0.6911732672
10	0.6910607527
11	0.6909299981
12	0.6908221642
13	0.6906193045
14	0.6905136704
15	0.6904078635
16	0.6901969115
17	0.6901063604
18	0.6899043829
19	0.6897768148
20	0.6895729608
21	0.6894411004
22	0.6892397183
23	0.689061627
24	0.6889570669
25	0.6888410481
26	0.6886565944
27	0.6885621243
28	0.6883809588
29	0.6882805713
30	0.6881235813
31	0.6880253926
32	0.6879633849
33	0.6878032227
34	0.6876300886
35	0.6874636312
36	0.6873903416
37	0.6873021101
38	0.6871784462
39	0.6870967337
40	0.6869898313
41	0.686891377
42	0.6868130227
43	0.6866947747
44	0.6865563692
45	0.6864642502
46	0.6863025092
47	0.6862138268
48	0.6860696592
49	0.685996272
50	0.6858575387
51	0.6857602105
52	0.6856675945
53	0.6855075502
54	0.6854301559
55	0.6852818076
56	0.6851645415
57	0.6850425698
58	0.6849621007
59	0.6848008976
60	0.6847253418
61	0.6846413303
62	0.6844833026
63	0.6843628807
64	0.6843044049
65	0.6842180084
66	0.6840879713
67	0.6839873381
68	0.6839275171
69	0.6838709152
70	0.6837981583
71	0.6836654351
72	0.6835873034
73	0.6835504954
74	0.6834570018
75	0.6833642698
76	0.6832821966
77	0.6831994322
78	0.6831418329
79	0.683082966
80	0.682980715
81	0.6828349175
82	0.6827477107
83	0.6826654583
84	0.6825744107
85	0.6825043909
86	0.6824342315
87	0.6823069827
88	0.6822266093
89	0.6821580046
90	0.6821007308
91	0.6820313871
92	0.6819720126
93	0.6818547634
94	0.681785234
95	0.6817083301
96	0.6816310783
97	0.6815087213
98	0.6813927856
99	0.6813309468
100	0.6812761478
101	0.6811998833
102	0.68107366
103	0.6809911395
104	0.6809103959
105	0.6808430141
106	0.6807489477
107	0.6806688102
108	0.6805908234
109	0.680528398
110	0.6804424919
111	0.6803629515
112	0.6802690742
113	0.6801807627
114	0.6801072032
115	0.6800201832
116	0.6799452926
117	0.6798550878
118	0.6798001595
119	0.6797557001
120	0.6796918128
121	0.6796594083
122	0.6795932495
123	0.6795163983
124	0.6794778659
125	0.6794327197
126	0.679344115
127	0.6792637755
128	0.6791380949
129	0.679080205
130	0.6789826411
131	0.6789012937
132	0.678833175
133	0.6787537484
134	0.6786833326
135	0.6786005162
136	0.6784846695
137	0.6783846182
138	0.6783501845
139	0.6782697837
140	0.6782267335
141	0.6781774602
142	0.6780813095
143	0.6780343514
144	0.6779616613
145	0.677904254
146	0.6778239393
147	0.677737721
148	0.6776824437
149	0.6775972552
150	0.6775186811
151	0.6774767776
152	0.6774192933
153	0.6773680035
154	0.6772919784
155	0.677228768
156	0.6771829262
157	0.677120127
158	0.6770716428
159	0.6769969278
160	0.6769587012
161	0.6769064901
162	0.6768322166
163	0.67676743
164	0.6766884012
165	0.6766070143
166	0.6765435874
167	0.676503298
168	0.6764522965
169	0.6763439513
170	0.6762819113
171	0.6762408815
172	0.6761510115
173	0.6761237436
174	0.6760570664
175	0.6760113588
176	0.6759268127
177	0.675892853
178	0.6758303389
179	0.6757414485
180	0.6756547697
181	0.6755962394
182	0.6755637431
183	0.675503665
184	0.6754473729
185	0.6753891036
186	0.6752879059
187	0.6752222844
