iter	Passed	Remaining
0	60	182736
1	62	93702
2	64	63983
3	65	49131
4	67	40315
5	68	34345
6	70	30086
7	71	26872
8	73	24349
9	74	22340
10	76	20677
11	77	19308
12	79	18163
13	80	17171
14	81	16293
15	83	15507
16	84	14856
17	86	14272
18	87	13737
19	88	13255
20	90	12885
21	92	12490
22	93	12134
23	95	11787
24	96	11495
25	97	11208
26	99	10941
27	100	10706
28	102	10468
29	103	10249
30	104	10046
31	106	9850
32	107	9667
33	108	9496
34	110	9332
35	111	9180
36	112	9035
37	114	8906
38	115	8789
39	117	8669
40	118	8548
41	119	8438
42	121	8345
43	122	8242
44	124	8144
45	125	8048
46	126	7956
47	128	7872
48	129	7790
49	130	7712
50	132	7636
51	133	7557
52	134	7486
53	135	7419
54	137	7352
55	138	7295
56	140	7231
57	141	7171
58	142	7112
59	143	7055
60	145	7004
61	146	6949
62	147	6899
63	149	6861
64	150	6816
65	152	6771
66	153	6729
67	155	6688
68	156	6643
69	157	6600
70	159	6569
71	160	6528
72	162	6499
73	163	6460
74	164	6426
75	166	6392
76	167	6355
77	168	6321
78	170	6288
79	171	6256
80	172	6223
81	174	6193
82	175	6163
83	176	6135
84	178	6114
85	179	6086
86	180	6057
87	182	6031
88	183	6006
89	185	5982
90	186	5959
91	187	5937
92	189	5914
93	190	5892
94	191	5869
95	193	5847
96	194	5826
97	196	5805
98	197	5787
99	198	5767
100	200	5750
101	201	5730
102	203	5710
103	204	5694
104	205	5675
105	207	5658
106	208	5639
107	209	5623
108	211	5609
109	212	5592
110	214	5575
111	215	5561
112	216	5543
113	218	5533
114	219	5516
115	221	5499
116	222	5485
117	223	5469
118	225	5454
119	226	5439
120	228	5427
121	229	5415
122	230	5401
123	232	5388
124	233	5379
125	235	5370
126	236	5357
127	238	5346
128	239	5334
129	241	5323
130	242	5310
131	244	5304
132	245	5295
133	247	5287
134	248	5281
135	250	5271
136	251	5263
137	253	5253
138	254	5243
139	256	5232
140	257	5221
141	259	5216
142	260	5206
143	262	5197
144	263	5191
145	265	5184
146	266	5177
147	268	5171
148	269	5163
149	271	5154
150	272	5146
151	274	5137
152	275	5128
153	277	5120
154	278	5111
155	279	5102
156	281	5092
157	282	5083
158	284	5075
159	285	5067
160	287	5062
161	288	5054
162	289	5045
163	291	5038
164	292	5030
165	294	5023
166	295	5017
167	297	5010
168	298	5002
169	300	4994
170	301	4991
171	303	4983
172	304	4980
173	306	4973
174	307	4967
175	309	4959
176	310	4953
177	312	4949
178	313	4942
179	315	4936
180	316	4932
181	318	4927
182	320	4926
183	321	4920
184	322	4912
185	324	4906
186	325	4899
187	327	4896
